iter	Passed	Remaining
0	0	83
1	1	80
2	2	78
3	3	72
4	3	70
5	4	67
6	5	67
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	40
44	32	39
45	33	39
46	34	38
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
